Episode,Score,Steps,AvgScore,Epsilon,QStates
412,1,8,0.18,0.9595,1198
413,0,15,0.18,0.9594,1200
414,0,17,0.18,0.9593,1202
415,0,14,0.18,0.9593,1202
416,0,12,0.18,0.9592,1202
417,0,29,0.18,0.9591,1202
418,0,35,0.18,0.9590,1205
419,0,24,0.18,0.9589,1206
420,0,20,0.18,0.9588,1208
421,0,11,0.18,0.9587,1208
422,0,8,0.17,0.9586,1208
423,0,33,0.17,0.9585,1209
424,0,13,0.17,0.9584,1210
425,0,11,0.17,0.9583,1210
426,0,8,0.17,0.9582,1210
427,0,17,0.17,0.9581,1211
428,0,21,0.16,0.9580,1213
429,0,18,0.16,0.9579,1216
430,0,13,0.16,0.9578,1216
431,1,31,0.17,0.9577,1218
432,0,22,0.17,0.9576,1220
433,0,34,0.17,0.9575,1220
434,0,30,0.17,0.9574,1222
435,0,16,0.17,0.9573,1222
436,0,36,0.17,0.9572,1223
437,0,16,0.17,0.9571,1223
438,0,25,0.17,0.9570,1225
439,0,6,0.17,0.9570,1225
440,0,11,0.17,0.9569,1227
441,0,12,0.15,0.9568,1230
442,0,12,0.15,0.9567,1230
443,0,10,0.15,0.9566,1231
444,0,13,0.15,0.9565,1233
445,0,15,0.15,0.9564,1234
446,0,10,0.15,0.9563,1234
447,0,6,0.15,0.9562,1234
448,0,7,0.14,0.9561,1235
449,0,12,0.14,0.9560,1236
450,0,14,0.14,0.9559,1238
451,0,14,0.14,0.9558,1238
452,0,7,0.14,0.9557,1238
453,1,60,0.15,0.9556,1243
454,0,13,0.15,0.9555,1245
455,0,21,0.15,0.9554,1248
456,1,28,0.16,0.9553,1252
457,0,20,0.16,0.9552,1252
458,0,10,0.16,0.9551,1252
459,0,37,0.16,0.9550,1253
460,0,7,0.16,0.9549,1253
461,0,72,0.16,0.9548,1264
462,0,35,0.16,0.9548,1267
463,0,16,0.16,0.9547,1269
464,0,23,0.16,0.9546,1271
465,0,12,0.16,0.9545,1271
466,0,9,0.16,0.9544,1272
467,0,10,0.16,0.9543,1272
468,0,39,0.16,0.9542,1274
469,0,44,0.16,0.9541,1276
470,0,6,0.15,0.9540,1276
471,0,13,0.15,0.9539,1277
472,0,26,0.14,0.9538,1281
473,0,10,0.14,0.9537,1281
474,0,12,0.14,0.9536,1281
475,0,6,0.14,0.9535,1281
476,1,51,0.15,0.9534,1284
477,1,15,0.16,0.9533,1287
478,0,18,0.16,0.9532,1287
479,0,58,0.16,0.9531,1291
480,0,23,0.16,0.9530,1293
481,0,60,0.16,0.9529,1298
482,0,18,0.16,0.9528,1299
483,0,7,0.16,0.9528,1300
484,0,6,0.16,0.9527,1300
485,0,23,0.15,0.9526,1301
486,0,12,0.15,0.9525,1303
487,0,19,0.14,0.9524,1304
488,0,12,0.14,0.9523,1304
489,0,14,0.14,0.9522,1304
490,0,12,0.14,0.9521,1304
491,1,25,0.15,0.9520,1307
492,0,5,0.15,0.9519,1307
493,0,16,0.15,0.9518,1307
494,0,22,0.15,0.9517,1307
495,0,9,0.15,0.9516,1307
496,0,23,0.13,0.9515,1309
497,0,27,0.13,0.9514,1310
498,1,37,0.14,0.9513,1313
499,0,11,0.13,0.9512,1314
500,0,16,0.12,0.9511,1317
501,0,26,0.12,0.9510,1317
502,0,21,0.12,0.9509,1318
503,1,13,0.13,0.9508,1319
504,0,8,0.12,0.9508,1319
505,0,14,0.12,0.9507,1319
506,0,16,0.11,0.9506,1320
507,0,6,0.11,0.9505,1320
508,0,40,0.11,0.9504,1326
509,0,7,0.11,0.9503,1326
510,1,16,0.10,0.9502,1326
511,0,17,0.10,0.9501,1326
512,0,13,0.09,0.9500,1329
513,0,8,0.09,0.9499,1329
514,0,14,0.09,0.9498,1331
515,0,26,0.09,0.9497,1334
516,0,54,0.09,0.9496,1336
517,0,44,0.09,0.9495,1337
518,0,75,0.09,0.9494,1337
519,1,25,0.10,0.9493,1341
520,0,40,0.10,0.9492,1347
521,0,27,0.10,0.9491,1347
522,0,10,0.10,0.9490,1347
523,0,10,0.10,0.9489,1347
524,0,10,0.10,0.9489,1347
525,0,24,0.10,0.9488,1347
526,0,29,0.10,0.9487,1347
527,0,40,0.10,0.9486,1351
528,0,7,0.10,0.9485,1351
529,0,33,0.10,0.9484,1351
530,0,44,0.10,0.9483,1353
531,0,12,0.09,0.9482,1354
532,0,7,0.09,0.9481,1354
533,0,14,0.09,0.9480,1356
534,0,7,0.09,0.9479,1356
535,0,24,0.09,0.9478,1360
536,0,32,0.09,0.9477,1360
537,0,14,0.09,0.9476,1361
538,0,12,0.09,0.9475,1361
539,1,26,0.10,0.9474,1363
540,0,10,0.10,0.9473,1363
541,0,9,0.10,0.9472,1363
542,1,6,0.11,0.9471,1364
543,0,23,0.11,0.9471,1365
544,0,13,0.11,0.9470,1365
545,0,19,0.11,0.9469,1365
546,0,36,0.11,0.9468,1365
547,0,9,0.11,0.9467,1367
548,0,24,0.11,0.9466,1367
549,0,24,0.11,0.9465,1368
550,0,38,0.11,0.9464,1368
551,0,11,0.11,0.9463,1370
552,2,21,0.13,0.9462,1373
553,0,16,0.12,0.9461,1374
554,0,9,0.12,0.9460,1374
555,0,11,0.12,0.9459,1374
556,1,40,0.12,0.9458,1377
557,1,9,0.13,0.9457,1378
558,0,7,0.13,0.9456,1378
559,0,55,0.13,0.9455,1379
560,0,28,0.13,0.9454,1380
561,0,32,0.13,0.9453,1382
562,0,20,0.13,0.9453,1382
563,0,11,0.13,0.9452,1383
564,2,45,0.15,0.9451,1386
565,0,13,0.15,0.9450,1386
566,0,11,0.15,0.9449,1386
567,0,11,0.15,0.9448,1388
568,1,23,0.16,0.9447,1388
569,0,7,0.16,0.9446,1388
570,0,19,0.16,0.9445,1389
571,0,27,0.16,0.9444,1390
572,0,21,0.16,0.9443,1391
573,0,24,0.16,0.9442,1392
574,0,6,0.16,0.9441,1393
575,0,21,0.16,0.9440,1394
576,0,14,0.15,0.9439,1397
577,0,77,0.14,0.9438,1399
578,0,16,0.14,0.9437,1400
579,0,22,0.14,0.9436,1400
580,0,14,0.14,0.9436,1400
581,0,16,0.14,0.9435,1402
