Episode,Score,Steps,AvgScore,Epsilon,QStates
466,0,12,0.31,0.0962,1167
467,0,7,0.30,0.0958,1167
468,1,22,0.30,0.0953,1168
469,0,8,0.29,0.0948,1169
470,0,13,0.29,0.0943,1169
471,1,12,0.30,0.0939,1169
472,0,12,0.30,0.0934,1169
473,0,22,0.30,0.0929,1170
474,0,20,0.30,0.0925,1170
475,0,36,0.30,0.0920,1171
476,0,22,0.30,0.0915,1172
477,0,12,0.30,0.0911,1173
478,0,17,0.30,0.0906,1174
479,0,20,0.28,0.0902,1174
480,0,17,0.26,0.0897,1174
481,1,22,0.27,0.0893,1176
482,0,13,0.27,0.0888,1177
483,0,19,0.27,0.0884,1178
484,0,15,0.27,0.0879,1178
485,0,7,0.27,0.0875,1178
486,0,7,0.27,0.0871,1178
487,0,17,0.27,0.0866,1179
488,0,17,0.27,0.0862,1179
489,0,12,0.26,0.0858,1182
490,0,57,0.26,0.0853,1183
491,1,10,0.27,0.0849,1183
492,0,7,0.27,0.0845,1184
493,0,16,0.27,0.0841,1185
494,0,19,0.26,0.0836,1187
495,0,16,0.26,0.0832,1188
496,1,15,0.27,0.0828,1188
497,0,41,0.27,0.0824,1189
498,0,17,0.27,0.0820,1190
499,0,20,0.27,0.0816,1191
500,0,14,0.27,0.0812,1192
501,0,12,0.27,0.0808,1192
502,0,11,0.26,0.0804,1192
503,1,19,0.27,0.0800,1193
504,0,20,0.26,0.0796,1194
505,0,10,0.26,0.0792,1195
506,0,19,0.25,0.0788,1196
507,0,10,0.25,0.0784,1198
508,0,22,0.25,0.0780,1198
509,0,7,0.25,0.0776,1198
510,0,20,0.25,0.0772,1201
511,1,19,0.26,0.0768,1208
512,0,7,0.26,0.0764,1208
513,0,9,0.26,0.0760,1208
514,2,26,0.27,0.0757,1211
515,0,23,0.26,0.0753,1213
516,1,12,0.27,0.0749,1214
517,0,11,0.26,0.0745,1215
518,0,11,0.25,0.0742,1216
519,0,6,0.25,0.0738,1216
520,0,23,0.25,0.0734,1217
521,0,17,0.25,0.0731,1222
522,0,7,0.25,0.0727,1224
523,0,32,0.25,0.0723,1224
524,0,8,0.25,0.0720,1224
525,0,38,0.25,0.0716,1225
526,0,15,0.24,0.0712,1225
527,0,11,0.24,0.0709,1227
528,0,9,0.23,0.0705,1230
529,0,14,0.23,0.0702,1230
530,0,11,0.23,0.0698,1230
531,1,18,0.24,0.0695,1231
532,0,30,0.24,0.0691,1231
533,0,17,0.24,0.0688,1233
534,0,12,0.23,0.0684,1233
535,1,11,0.23,0.0681,1234
536,1,23,0.24,0.0678,1239
537,0,12,0.24,0.0674,1239
538,1,8,0.25,0.0671,1240
539,0,15,0.25,0.0668,1240
540,0,7,0.25,0.0664,1241
541,0,31,0.25,0.0661,1242
542,0,6,0.24,0.0658,1242
543,1,15,0.25,0.0654,1246
544,0,10,0.25,0.0651,1246
545,0,6,0.24,0.0648,1246
546,1,19,0.24,0.0645,1247
547,0,21,0.23,0.0641,1250
548,0,8,0.23,0.0638,1251
549,0,19,0.22,0.0635,1252
550,0,6,0.22,0.0632,1253
551,0,11,0.21,0.0629,1253
552,0,25,0.19,0.0625,1254
553,0,10,0.19,0.0622,1256
554,0,10,0.18,0.0619,1256
555,0,35,0.18,0.0616,1256
556,0,38,0.18,0.0613,1260
557,0,9,0.18,0.0610,1261
558,0,14,0.18,0.0607,1261
559,0,9,0.17,0.0604,1261
560,0,6,0.16,0.0601,1261
561,3,15,0.19,0.0598,1264
562,0,24,0.19,0.0595,1266
563,0,17,0.19,0.0592,1266
564,0,5,0.19,0.0589,1267
565,0,34,0.19,0.0586,1267
566,0,16,0.19,0.0583,1268
567,0,8,0.19,0.0580,1269
568,1,29,0.19,0.0577,1271
569,0,9,0.19,0.0574,1271
570,0,20,0.19,0.0571,1272
571,0,14,0.18,0.0569,1272
572,1,37,0.19,0.0566,1275
573,2,18,0.21,0.0563,1275
574,0,22,0.21,0.0560,1275
575,0,17,0.21,0.0557,1276
576,0,13,0.21,0.0555,1277
577,0,24,0.21,0.0552,1277
578,0,20,0.21,0.0549,1277
579,0,7,0.21,0.0546,1277
580,0,38,0.21,0.0544,1278
581,0,7,0.20,0.0541,1278
582,0,10,0.20,0.0538,1279
583,0,15,0.20,0.0535,1280
584,0,8,0.20,0.0533,1281
585,0,5,0.20,0.0530,1281
586,1,23,0.21,0.0527,1286
587,0,10,0.21,0.0525,1287
588,1,21,0.22,0.0522,1288
589,0,17,0.22,0.0520,1288
590,0,9,0.22,0.0517,1288
591,0,7,0.21,0.0514,1288
592,1,8,0.22,0.0512,1288
593,1,16,0.23,0.0509,1288
594,1,27,0.24,0.0507,1288
595,0,8,0.24,0.0504,1288
596,1,7,0.24,0.0502,1289
597,0,7,0.24,0.0499,1290
598,1,11,0.25,0.0497,1291
599,0,19,0.25,0.0494,1295
600,0,6,0.25,0.0492,1295
601,2,34,0.27,0.0489,1299
602,0,12,0.27,0.0487,1299
603,1,11,0.27,0.0484,1299
604,0,7,0.27,0.0482,1299
605,1,9,0.28,0.0479,1300
606,2,21,0.30,0.0477,1301
607,0,24,0.30,0.0475,1308
608,0,36,0.30,0.0472,1311
